childid,country,round,yc,math,group
ET011001,1,2,0,449.2565002,1
ET011002,1,2,0,459.5516968,1
ET011003,1,2,0,586.5414429,1
ET011004,1,2,0,494.2686768,1
ET011005,1,2,0,496.4824829,1
ET011006,1,2,0,573.7628784,1
ET011007,1,2,0,511.1427307,1
ET011008,1,2,0,558.8695068,1
ET011009,1,2,0,567.6159058,1
ET011010,1,2,0,480.8974304,1
ET011012,1,2,0,519.9082642,1
ET011013,1,2,0,535.40625,1
ET011014,1,2,0,491.3357849,1
ET011015,1,2,0,484.1457214,1
ET011016,1,2,0,487.1863708,1
ET011017,1,2,0,677.6313477,1
ET011018,1,2,0,468.0890808,1
ET011019,1,2,0,617.137146,1
ET011020,1,2,0,397.9477539,1
ET011021,1,2,0,388.9160156,1
ET011022,1,2,0,462.2506409,1
ET011023,1,2,0,428.9285583,1
ET011024,1,2,0,470.6318665,1
ET011025,1,2,0,471.7667847,1
ET011026,1,2,0,576.0768433,1
ET011027,1,2,0,523.7490845,1
ET011028,1,2,0,387.3203735,1
ET011029,1,2,0,527.9439697,1
ET011030,1,2,0,516.4506836,1
ET011031,1,2,0,468.578186,1
ET011032,1,2,0,499.8086548,1
ET011033,1,2,0,393.7303467,1
ET011034,1,2,0,445.7436523,1
ET011035,1,2,0,434.7687073,1
ET011036,1,2,0,516.7693481,1
ET011037,1,2,0,459.3618469,1
ET011038,1,2,0,460.5546875,1
ET011039,1,2,0,491.6912231,1
ET011040,1,2,0,448.1566772,1
ET011041,1,2,0,447.3269348,1
ET011042,1,2,0,383.3928528,1
ET011043,1,2,0,430.2414551,1
ET011044,1,2,0,299.5552368,1
ET011045,1,2,0,600.1490479,1
ET011046,1,2,0,451.6607361,1
ET011048,1,2,0,640.9043579,1
ET011049,1,2,0,496.9474792,1
ET011050,1,2,0,503.1246338,1
ET021001,1,2,0,378.3215027,1
ET021002,1,2,0,366.7913208,1
ET021003,1,2,0,481.041748,1
ET021004,1,2,0,545.1050415,1
ET021005,1,2,0,474.3078003,1
ET021006,1,2,0,518.6139526,1
ET021007,1,2,0,601.3869629,1
ET021008,1,2,0,388.2741394,1
