childid,yc,round,theta_eap,ppvt_score,country,group,language
ET011001,0,2,-0.476016015,1.069522619,1,1,1
ET011002,0,2,0.157547995,2.087730169,1,1,1
ET011003,0,2,0.366118997,2.422926903,1,1,1
ET011004,0,2,0.074085698,1.953597069,1,1,1
ET011005,0,2,-0.135398999,1.616931915,1,1,1
ET011006,0,2,-0.147749007,1.597084165,1,1,1
ET011007,0,2,0.269199014,2.267165899,1,1,1
ET011008,0,2,0.26524201,2.260806561,1,1,1
ET011010,0,2,0.736129999,3.017575741,1,1,1
ET011012,0,2,0.648155987,2.876191616,1,1,1
ET011013,0,2,0.577248991,2.762236357,1,1,1
ET011014,0,2,0.900976002,3.282501459,1,1,1
ET011015,0,2,0.671423972,2.913585901,1,1,1
ET011016,0,2,0.778941989,3.08637929,1,1,1
ET011017,0,2,-0.262690008,1.412361145,1,1,1
ET011018,0,2,0.726435006,3.001994848,1,1,1
ET011019,0,2,0.309269011,2.331562757,1,1,1
ET011020,0,2,0.195179999,2.148209095,1,1,1
ET011021,0,2,0.332204014,2.368421793,1,1,1
ET011022,0,2,1.55302,4.330408573,1,1,1
ET011023,0,2,0.242927998,2.224945307,1,1,1
ET011024,0,2,1.082010031,3.573443174,1,1,1
ET011025,0,2,-0.36461699,1.248553157,1,1,1
ET011026,0,2,0.727847993,3.004265547,1,1,1
ET011027,0,2,0.351859003,2.400009632,1,1,1
ET011028,0,2,0.941302001,3.347309828,1,1,1
ET011030,0,2,0.445308,2.550192595,1,1,1
ET011031,0,2,0.640910029,2.864546537,1,1,1
ET011032,0,2,0.146708995,2.070310831,1,1,1
ET011033,0,2,0.921504974,3.315493822,1,1,1
ET011034,0,2,1.191480041,3.749373674,1,1,1
ET011035,0,2,0.515522003,2.663034201,1,1,1
ET011036,0,2,0.994560003,3.432901382,1,1,1
ET011037,0,2,0.272076011,2.271789551,1,1,1
ET011038,0,2,0.247601002,2.232455492,1,1,1
ET011039,0,2,0.605530977,2.807688475,1,1,1
ET011040,0,2,0.38706699,2.456592798,1,1,1
ET011041,0,2,0.466675997,2.584533215,1,1,1
ET011042,0,2,0.918362975,3.310444355,1,1,1
ET011043,0,2,0.066056199,1.940692782,1,1,1
ET011044,0,2,0.311756015,2.335559607,1,1,1
ET011045,0,2,0.863556981,3.222364902,1,1,1
ET011046,0,2,0.460004985,2.573812246,1,1,1
ET011048,0,2,1.734030008,4.621311665,1,1,1
ET011049,0,2,0.722374022,2.995468378,1,1,1
ET011050,0,2,0.818229973,3.149519444,1,1,1
ET021001,0,2,1.558410048,4.339070797,1,1,1
