childid,round,yc,theta_eap,read_score,country,group,language
ET011001,4,0,0.338138998,0.59154886,1,3,1
ET011002,4,0,0.261121988,0.504750073,1,3,1
ET011003,4,0,0.908851981,1.234747171,1,3,1
ET011006,4,0,0.85512203,1.174193025,1,3,1
ET011007,4,0,0.429511011,0.694525898,1,3,1
ET011008,4,0,1.456200004,1.851612926,1,3,1
ET011009,4,0,1.13259995,1.486912966,1,3,1
ET011010,4,0,2.125999928,2.606482983,1,3,1
ET011013,4,0,0.200949997,0.436935723,1,3,1
ET011014,4,0,0.928672016,1.257084489,1,3,1
ET011015,4,0,1.696130037,2.122015953,1,3,1
ET011020,4,0,0.181622997,0.41515401,1,3,1
ET011021,4,0,1.122099996,1.475079417,1,3,1
ET011022,4,0,0.104015,0.327689171,1,3,1
ET011024,4,0,1.456019998,1.851410031,1,3,1
ET011025,4,0,0.843577981,1.161182761,1,3,1
ET011026,4,0,0.132580996,0.359883279,1,3,1
ET011027,4,0,1.149199963,1.505621314,1,3,1
ET011028,4,0,0.975073993,1.309379935,1,3,1
ET011029,4,0,0.826970994,1.142466545,1,3,1
ET011030,4,0,0.547145009,0.827100396,1,3,1
ET011032,4,0,0.781010985,1.090669274,1,3,1
ET011033,4,0,-0.39844501,-0.238587439,1,3,1
ET011034,4,0,1.023609996,1.364080429,1,3,1
ET011035,4,0,1.39399004,1.78150177,1,3,1
ET011037,4,0,1.02839005,1.369467497,1,3,1
ET011038,4,0,0.492089003,0.765051782,1,3,1
ET011039,4,0,0.565366983,0.8476367,1,3,1
ET011040,4,0,1.09987998,1.450037241,1,3,1
ET011042,4,0,2.332849979,2.839604616,1,3,1
ET011043,4,0,0.294936001,0.54285872,1,3,1
ET011044,4,0,0.394708008,0.655302584,1,3,1
ET011045,4,0,1.313560009,1.690856457,1,3,1
ET011046,4,0,0.345192999,0.599498749,1,3,1
ET011048,4,0,1.804739952,2.24442029,1,3,1
ET011049,4,0,0.753790021,1.059991002,1,3,1
ET021002,4,0,0.147299007,0.376470596,1,3,1
ET021005,4,0,0.162543997,0.393651843,1,3,1
