sibid,childid,round,theta_eap,ppvt_score,yc,country,group,language
3,ET010002,3,-1.801789999,-1.06114316,1,1,4,1
3,ET010002,4,0.493010014,2.626854897,1,1,5,1
3,ET010002,5,0.886229992,3.258803129,1,1,6,1
5,ET010005,3,0.641194999,2.865004539,1,1,4,1
9,ET010006,3,-0.757842004,0.616596997,1,1,4,1
9,ET010006,4,0.945622981,3.354254246,1,1,5,1
7,ET010009,3,1.925930023,4.92971611,1,1,4,1
3,ET010010,3,-2.385390043,-1.999053121,1,1,4,1
3,ET010010,4,0.376515001,2.439634562,1,1,5,1
3,ET010010,5,1.684120059,4.541100979,1,1,6,1
15,ET010011,3,0.390900999,2.462754488,1,1,4,1
15,ET010011,4,0.956498027,3.37173152,1,1,5,1
15,ET010011,5,1.237859964,3.823911428,1,1,6,1
17,ET010012,3,-0.32673201,1.309438586,1,1,4,1
17,ET010012,4,0.516493022,2.66459465,1,1,5,1
17,ET010012,5,2.366019964,5.636989594,1,1,6,1
15,ET010015,3,-0.110238999,1.657366872,1,1,4,1
15,ET010015,4,0.955033004,3.369377136,1,1,5,1
15,ET010015,5,1.336439967,3.982340336,1,1,6,1
15,ET010016,3,0.816335976,3.146475554,1,1,4,1
15,ET010016,4,1.524809957,4.28507185,1,1,5,1
15,ET010016,5,1.537819982,4.305980206,1,1,6,1
15,ET010017,3,1.165359974,3.707395792,1,1,4,1
15,ET010017,4,2.313469887,5.552536011,1,1,5,1
15,ET010017,5,1.858049989,4.820625305,1,1,6,1
5,ET010021,3,-0.898719013,0.390192032,1,1,4,1
5,ET010021,4,1.23416996,3.817981243,1,1,5,1
5,ET010021,5,1.308109999,3.93681097,1,1,6,1
16,ET010025,3,-1.597849965,-0.733388901,1,1,4,1
16,ET010025,4,0.182897002,2.12846899,1,1,5,1
16,ET010025,5,1.500560045,4.246099472,1,1,6,1
16,ET010030,4,-0.167555004,1.565253735,1,1,5,1
16,ET010030,5,0.89398402,3.271264553,1,1,6,1
15,ET010031,3,1.089249969,3.585078716,1,1,4,1
15,ET010031,4,1.318570018,3.953621387,1,1,5,1
15,ET010031,5,-0.0275278,1.790292978,1,1,6,1
5,ET010035,3,1.007959962,3.454436541,1,1,4,1
15,ET010036,3,1.122640014,3.638740063,1,1,4,1
15,ET010036,4,0.896304011,3.274993181,1,1,5,1
15,ET010036,5,1.928259969,4.933460712,1,1,6,1
15,ET010038,3,-0.44659701,1.116802216,1,1,4,1
15,ET010038,4,0.298684001,2.314551353,1,1,5,1
15,ET010038,5,1.260939956,3.861003399,1,1,6,1
16,ET010040,3,-0.340207011,1.287782788,1,1,4,1
16,ET010040,4,1.42663002,4.127285957,1,1,5,1
16,ET010040,5,1.165300012,3.707299471,1,1,6,1
15,ET010041,3,0.921938002,3.316189766,1,1,4,1
15,ET010041,4,0.878006995,3.245587826,1,1,5,1
15,ET010041,5,1.485489964,4.221880436,1,1,6,1
16,ET010043,3,-0.876709998,0.425562978,1,1,4,1
16,ET010043,4,0.511367977,2.656358242,1,1,5,1
16,ET010043,5,1.03263998,3.494100094,1,1,6,1
7,ET010044,3,0.98992002,3.425444365,1,1,4,1
5,ET010045,3,-1.619979978,-0.768954337,1,1,4,1
5,ET010045,4,0.170420006,2.108417034,1,1,5,1
5,ET010045,5,0.673187017,2.916419268,1,1,6,1
15,ET010046,3,0.681940019,2.930486441,1,1,4,1
15,ET010046,4,2.211889982,5.389285564,1,1,5,1
15,ET010046,5,1.452149987,4.168299198,1,1,6,1
5,ET010048,4,-0.417966992,1.162813902,1,1,5,1
4,ET010049,3,0.380335987,2.44577527,1,1,4,1
6,ET010051,3,0.865127027,3.224888325,1,1,4,1
5,ET010052,3,-0.786472023,0.57058537,1,1,4,1
5,ET010052,4,0.614008009,2.821312189,1,1,5,1
5,ET010052,5,1.658280015,4.499573231,1,1,6,1
3,ET010054,3,1.120159984,3.634754419,1,1,4,1
15,ET010057,3,0.782768011,3.092528105,1,1,4,1
15,ET010057,4,1.249500036,3.842618227,1,1,5,1
15,ET010057,5,1.215800047,3.788458586,1,1,6,1
8,ET010059,3,-0.163568005,1.571661234,1,1,4,1
8,ET010059,4,1.44975996,4.164458275,1,1,5,1
16,ET010062,3,0.204677999,2.163473368,1,1,4,1
16,ET010062,4,0.827386975,3.16423583,1,1,5,1
16,ET010062,5,1.527469993,4.289346695,1,1,6,1
2,ET010064,3,0.754007995,3.046307564,1,1,4,1
15,ET010065,3,0.881385028,3.251016617,1,1,4,1
15,ET010065,4,1.562139988,4.345065117,1,1,5,1
15,ET010065,5,1.832270026,4.779194355,1,1,6,1
15,ET010066,3,1.014129996,3.464352608,1,1,4,1
15,ET010066,4,0.691586971,2.945990086,1,1,5,1
15,ET010066,5,1.44283998,4.153337002,1,1,6,1
5,ET010067,3,-1.611829996,-0.755856395,1,1,4,1
5,ET010067,4,0.686794996,2.938288927,1,1,5,1
5,ET010067,5,0.927487016,3.325107574,1,1,6,1
15,ET010070,3,0.747931004,3.036541224,1,1,4,1
15,ET010070,4,1.624250054,4.44488287,1,1,5,1
15,ET010070,5,2.127579927,5.253789902,1,1,6,1
10,ET010071,3,0.674719989,2.918883085,1,1,4,1
10,ET010071,4,2.328830004,5.577221394,1,1,5,1
6,ET010075,3,-0.506914973,1.019864559,1,1,4,1
6,ET010075,4,0.909992993,3.296992779,1,1,5,1
6,ET010075,5,2.242820024,5.438993454,1,1,6,1
15,ET010076,3,0.873844028,3.238897324,1,1,4,1
15,ET010076,4,1.317039967,3.951162338,1,1,5,1
15,ET010076,5,1.638309956,4.467478752,1,1,6,1
15,ET010077,3,0.370456994,2.4298985,1,1,4,1
15,ET010077,4,1.259160042,3.858142853,1,1,5,1
15,ET010077,5,1.498409986,4.24264431,1,1,6,1
6,ET010081,3,-1.960309982,-1.315902352,1,1,4,1
6,ET010081,4,0.768890023,3.070224762,1,1,5,1
6,ET010081,5,0.830817997,3.169749737,1,1,6,1
16,ET010082,3,-1.435850024,-0.473037064,1,1,4,1
16,ET010082,4,-0.784832001,0.573221087,1,1,5,1
16,ET010082,5,0.426191986,2.51947093,1,1,6,1
6,ET010083,3,0.470045,2.589947701,1,1,4,1
15,ET010084,3,0.562143028,2.737959385,1,1,4,1
15,ET010084,4,1.599650025,4.405348301,1,1,5,1
15,ET010084,5,0.440270007,2.5420959,1,1,6,1
3,ET010085,3,0.802193999,3.123747826,1,1,4,1
3,ET010086,3,-1.88301003,-1.191672802,1,1,4,1
3,ET010086,4,0.296397001,2.310875893,1,1,5,1
3,ET010086,5,0.445216,2.550044537,1,1,6,1
16,ET010089,3,-0.908924997,0.373789877,1,1,4,1
16,ET010089,4,0.50257498,2.642226934,1,1,5,1
16,ET010089,5,1.124709964,3.642066717,1,1,6,1
16,ET010091,3,-0.273975015,1.394224882,1,1,4,1
16,ET010091,4,0.00422088,1.841316581,1,1,5,1
16,ET010091,5,1.037389994,3.501734018,1,1,6,1
6,ET010092,3,1.400410056,4.085147381,1,1,4,1
15,ET010093,3,0.703891993,2.965765715,1,1,4,1
15,ET010093,4,1.01406002,3.464240074,1,1,5,1
15,ET010093,5,2.16050005,5.306696415,1,1,6,1
5,ET010094,3,1.468549967,4.194655895,1,1,4,1
15,ET010095,3,0.0474637,1.910812616,1,1,4,1
15,ET010095,4,1.831169963,4.777426243,1,1,5,1
15,ET010095,5,1.765759945,4.672305107,1,1,6,1
4,ET010096,3,1.389600039,4.067774296,1,1,4,1
4,ET010096,4,1.752920032,4.651669979,1,1,5,1
15,ET010097,3,0.186280996,2.133907318,1,1,4,1
15,ET010097,4,1.619539976,4.437313557,1,1,5,1
15,ET010097,5,1.244379997,3.834389687,1,1,6,1
16,ET010098,3,-0.808322012,0.535470068,1,1,4,1
16,ET010098,4,1.045120001,3.514156818,1,1,5,1
16,ET010098,5,0.916988015,3.308234453,1,1,6,1
15,ET020001,4,0.630129993,2.847221851,1,1,5,1
15,ET020001,5,2.31223011,5.550543308,1,1,6,1
8,ET020002,3,-1.100469947,0.065955915,1,1,4,1
8,ET020002,4,0.129583001,2.042787313,1,1,5,1
8,ET020002,5,1.315829992,3.949217796,1,1,6,1
99,ET020005,4,0.237878993,2.216830969,1,1,5,1
4,ET020008,3,1.293380022,3.913138151,1,1,4,1
15,ET020011,3,0.491834015,2.624964952,1,1,4,1
15,ET020011,4,0.974602997,3.400828123,1,1,5,1
15,ET020011,5,1.81885004,4.75762701,1,1,6,1
9,ET020013,3,0.713051975,2.980486631,1,1,4,1
16,ET020014,4,0.429091007,2.524129868,1,1,5,1
16,ET020014,5,1.065050006,3.546186686,1,1,6,1
3,ET020015,3,0.25305301,2.241217375,1,1,4,1
3,ET020015,4,0.585416973,2.775363207,1,1,5,1
3,ET020015,5,0.819185972,3.151055813,1,1,6,1
4,ET020020,3,0.443275988,2.546926737,1,1,4,1
3,ET020022,3,-2.121459961,-1.574888229,1,1,4,1
3,ET020022,4,-0.216994002,1.48579967,1,1,5,1
3,ET020022,5,0.859185994,3.215340376,1,1,6,1
9,ET020028,3,-0.821488023,0.514310777,1,1,4,1
9,ET020028,4,0.617865026,2.827510834,1,1,5,1
9,ET020028,5,1.622320056,4.441781521,1,1,6,1
15,ET020035,3,0.314334005,2.339702845,1,1,4,1
15,ET020035,4,1.044199944,3.512678146,1,1,5,1
15,ET020035,5,2.199609995,5.369550228,1,1,6,1
6,ET020042,3,-2.610800028,-2.361311913,1,1,4,1
6,ET020042,4,0.240739003,2.221427441,1,1,5,1
6,ET020042,5,1.35247004,4.008102417,1,1,6,1
